Date,Open,High,Low,Close,Adj Close,Volume,Return
4/1/2017,217.699997,220.690002,215.110001,220.270004,211.286926,0,0.014614152
5/1/2017,220.649994,223.649994,218.130005,223.339996,214.23175,0,0.013937559
6/1/2017,225.059998,227.410004,223.320007,223.75,214.625031,0,0.001835774
7/1/2017,224.279999,228.990005,222.630005,228.320007,219.943909,0,0.024782189
8/1/2017,228.880005,229.389999,224.559998,228.990005,220.58931,0,0.002934389
9/1/2017,229.470001,232.570007,227.740005,232.570007,224.037979,0,0.01563389
10/1/2017,233.470001,238.479996,233.470001,237.960007,230.350281,0,0.028175143
11/1/2017,238.339996,245.240005,237.279999,245.240005,237.397476,0,0.030593386
12/1/2017,244.75,249.360001,243.570007,246.820007,238.926956,0,0.006442697
1/1/2018,248.880005,265.420013,248.880005,260.920013,253.724014,0,0.061931304
2/1/2018,260.799988,260.799988,238.610001,251.270004,244.340149,0,-0.036984536
3/1/2018,247.970001,258.170013,238.910004,243.809998,237.085892,0,-0.029689173
4/1/2018,238.360001,250.259995,238.360001,244.720001,238.973221,0,0.007960528
5/1/2018,245.339996,253.029999,243.050003,250.580002,244.695602,0,0.0239457
6/1/2018,253.320007,258.23999,249.210007,250.990005,245.095978,0,0.001636221
7/1/2018,251.759995,263.019989,250.520004,260.299988,255.297607,0,0.041622996
8/1/2018,260.019989,269.829987,260.019989,268.75,263.585205,0,0.032462498
9/1/2018,268.320007,271.720001,266.100006,269.089996,263.918701,0,0.00126523
10/1/2018,270.070007,270.160004,244.119995,250.660004,246.891861,0,-0.064515474
11/1/2018,253.309998,260.160004,243.779999,255.740005,251.895493,0,0.020266492
12/1/2018,258.540009,258.540009,216.979996,231.440002,227.960785,0,-0.095018405
